Model,R2_Score,CV_R2_Mean,CV_R2_Std,RMSE
Linear Regression,0.8227009817756757,0.6348778718545759,0.13423607051374187,22550.573964635347
Random Forest,0.9458745905812898,0.8571231328882787,0.07963049908472607,12459.626737647413
Gradient Boosting,0.9472200147413631,0.8494456922888481,0.06785372506366398,12303.794449611569
SVR,-0.09170655661311033,-0.18655074874026845,0.3141481758279397,55957.38284157595
XGBoost,0.9553416115282536,0.8841765765663567,0.06468650568119441,11317.642161353931
