name,url,İşlemci_Modeli,price,id,brand,Kullanım_Amacı,Ekran_Boyutu,Çözünürlük,Çözünürlük_Standartı,Panel_Tipi,Ekran_Yenileme_Hızı,Ekran_Kartı_Tipi,Ekran_Kartı,Ekran_Kartı_Hafızası,Maksimum_İşlemci_Hızı,Ram,SSD,İşlemci_Çekirdek_Sayısı,Temel_İşlemci_Hızı,Parmak_İzi_Okuyucu,İşletim_Sistemi
"Probook 440 G10 I5 1335U 8 256 SSD Intel® Iris® X? W11PRO 14"" Fhd 8A565EAP01+ZETTAÇANTA",https://www.trendyol.com/hp/probook-440-g10-i5-1335u-8-256-ssd-intel-iris-x-w11pro-14-fhd-8a565eap01-zettacanta-p-802240200?boutiqueId=61&merchantId=106536,1335U,31999.5,802240200,HP,Ofis - İş,14 inç,1920 x 1080,Full HD (FHD),IPS,,Dahili,Intel Iris Graphics,1.0,,8,256,10,2,Yok,Windows
"15-FC0003NT Ryzen3 7320U 8 1SSD FDOS 15.6"" FHD Taşınabilir Bilgisayar 7P6E7EA002 Çanta Hediye",https://www.trendyol.com/hp/15-fc0003nt-ryzen3-7320u-8-1ssd-fdos-15-6-fhd-tasinabilir-bilgisayar-7p6e7ea002-canta-hediye-p-791172050?boutiqueId=61&merchantId=339221,7320U,14999,791172050,HP,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,60,Dahili,AMD Radeon Graphics,1.0,4.1,8,1,4,,Yok,Free Dos (İşletim Sistemi Yok)
"V15 G3 Iap 82tt008ptx I5-1235u 16 512 Ssd Iris Xe Graphics 15.6"" Full Hd Note",https://www.trendyol.com/lenovo/v15-g3-iap-82tt008ptx-i5-1235u-16--512--ssd-iris-xe-graphics-15-6-full-hd-note-p-683149154?boutiqueId=61&merchantId=153128,1235U,19999,683149154,LENOVO,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),TN,,Dahili,Intel Iris Graphics,1.0,4.4,16,512,10,1.3,Yok,Free Dos (İşletim Sistemi Yok)
Tab Kids 4/128 10.1 inç WUXGA Tablet + Kılıf + Kalem ZAEH0088TR,https://www.trendyol.com/lenovo/tab-kids-4-128-10-1-inc-wuxga-tablet-kilif-kalem-zaeh0088tr-p-929687813?boutiqueId=61&merchantId=782378,2200.0,12998,929687813,LENOVO,,,,,,,,Adreno GPU,,,128,120,,,,
"Victus Gaming 15-fa0011nt Intel Core I5 12450h 32 512 Ssd Rtx3050 Windows 10 Home 15.6"" 144",https://www.trendyol.com/hp/victus-gaming-15-fa0011nt-intel-core-i5-12450h-32-512-ssd-rtx3050-windows-10-home-15-6-144-p-792876234?boutiqueId=61&merchantId=444099,12450H,38799,792876234,HP,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 3050,4.0,4.4,32,512,8,3.3,,Windows
"VOSTRO 3530 Intel® Core™ i5-1334U 32 Ram 2 SSD   Windows 11 Pro 15.6"" FHD",https://www.trendyol.com/dell/vostro-3530-intel-core-i5-1334u-32-ram-2-ssd-windows-11-pro-15-6-fhd-p-877854794?boutiqueId=61&merchantId=153128,1334u,24895.8,877854794,Dell,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),VA,120,Dahili,Intel Iris Graphics,1.0,4.6,32,2,10,1.3,Yok,Windows
NB V15 83A10096TR I5-13420H 8 512SSD O/B 15.6 DOS,https://www.trendyol.com/lenovo/nb-v15-83a10096tr-i5-13420h-8-512ssd-o-b-15-6-dos-p-827534211?boutiqueId=61&merchantId=1011169,13420H,20999,827534211,LENOVO,Oyun,15.6 inç,,,TN,60,Dahili,Dahili Ekran Kartı,1.0,4.6,8,512,2,2,,
THİNKPAD E16 GEN 1 AMD RYZEN™ 7 7730U 40 512 SSD 16'' WUXGA IPS FREEDOS 21JT0017TX+405,https://www.trendyol.com/lenovo/thinkpad-e16-gen-1-amd-ryzen-7-7730u-40--512--ssd-16-wuxga-ips-freedos-21jt0017tx-405-p-932932499?boutiqueId=61&merchantId=107007,7730U,29999,932932499,LENOVO,Ofis - İş,16 inç,1920 x 1200,WUXGA,IPS,,Dahili,AMD Radeon Graphics,1.0,4.5,40,512,8,2,Var,Free Dos (İşletim Sistemi Yok)
IdeaPad Slim 3 i5 13420H 16 DDR5 1 SSD 15.3'' IPS WUXGA W11H Dizüstü & PER4 ÇANTA,https://www.trendyol.com/lenovo/ideapad-slim-3-i5-13420h-16-ddr5-1-ssd-15-3-ips-wuxga-w11h-dizustu-per4-canta-p-927855640?boutiqueId=61&merchantId=668896,13420H,29355.4,927855640,LENOVO,Ofis - İş,,1920 x 1200,WUXGA,IPS,60,Dahili,Intel UHD Graphics,1.0,,16,1,12,3,,Windows
"ROG STRIX G16 G635LX-RW145 INTEL CORE ULTRA 9-275HX 32 1 24 RTX5090 16"" 2.5K 240 DOS",https://www.trendyol.com/asus/rog-strix-g16-g635lx-rw145-intel-core-ultra-9-275hx-32-1-24-rtx5090-16-2-5k-240-dos-p-923136743?boutiqueId=61&merchantId=105919,275HX,229749,923136743,ASUS,Oyun,16 inç,2560 x 1600,2.5K,Mini LED,240,Harici,Nvidia GeForce RTX 5090,24.0,,32,1,24,4,,Free Dos (İşletim Sistemi Yok)
Ryzen 5-5500U 8 256 SSD 15.6 FHD FreeDos 82R400S7TX,https://www.trendyol.com/lenovo/ryzen-5-5500u-8-256-ssd-15-6-fhd-freedos-82r400s7tx-p-858588481?boutiqueId=61&merchantId=316311,5500U,13129,858588481,LENOVO,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),TN,,Dahili,Dahili Ekran Kartı,1.0,,8,256,6,2.1,Yok,Free Dos (İşletim Sistemi Yok)
VİCTUS 16 i7-13700H 32 2 SSD RTX4060/8 144 16.1'' FHD FDOS 8B5Y3EA & PER4 ÇANTA,https://www.trendyol.com/hp/victus-16-i7-13700h-32-2-ssd-rtx4060-8-144-16-1-fhd-fdos-8b5y3ea-per4-canta-p-871340364?boutiqueId=61&merchantId=668896,13700H,62270.7,871340364,HP,Oyun,16.1 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 4060,8.0,5,32,2,20,1.9,,Free Dos (İşletim Sistemi Yok)
"Vivobook 15X1502ZA-EJ2123A12 i7-1255U 16 512SSD 15.6"" FHD W11P Dizüstü Bilgisayar-CNT013",https://www.trendyol.com/asus/vivobook-15x1502za-ej2123a12-i7-1255u-16-512ssd-15-6-fhd-w11p-dizustu-bilgisayar-cnt013-p-861374968?boutiqueId=61&merchantId=122633,1255U,25999,861374968,ASUS,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),TN,60,Dahili,Intel UHD Graphics,1.0,4.7,16,512,10,1.7,Yok,Windows
Aspire 5 A515-57 I5 12450H 16 Ram 512 SSD 15.6 Inç IPS Fhd W11PRO NXKN3EY00319+ZETTAÇANTA,https://www.trendyol.com/acer/aspire-5-a515-57-i5-12450h-16-ram-512-ssd-15-6-inc-ips-fhd-w11pro-nxkn3ey00319-zettacanta-p-802122366?boutiqueId=61&merchantId=557390,12450H,18499,802122366,ACER,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,,Dahili,Intel UHD Graphics,1.0,,16,512,8,2,Yok,Windows
ROG Strix G18 Ultra 9 275HX 96 4 SSD RTX5070Ti/12 140W 240 18'' 2.5K W11P Gaming Lapt,https://www.trendyol.com/asus/rog-strix-g18-ultra-9-275hx-96-4-ssd-rtx5070ti-12-140w-240-18-2-5k-w11p-gaming-lapt-p-927565296?boutiqueId=61&merchantId=668896,275HX,202487,927565296,ASUS,Oyun,18 inç,2560 x 1600,WQXGA,IPS,240,Harici,Nvidia GeForce RTX 5070 Ti,12.0,,96,4,12,,,Windows
VİVOBOOK 16 V3607VU-RP288BS3 i5 210H 24 512 SSD RTX 4050 6 FREEDOS,https://www.trendyol.com/asus/vivobook-16-v3607vu-rp288bs3-i5-210h-24-512-ssd-rtx-4050-6-freedos-p-925953518?boutiqueId=61&merchantId=107204,210H,40199,925953518,ASUS,Oyun,16 inç,1920 x 1200,WUXGA,WUXGA,144,Harici,Nvidia GeForce RTX 4050,6.0,3.3,24,512,8,2.7,,Free Dos (İşletim Sistemi Yok)
"Vivobook  Intel Core i5 1235U 8 512 SSD Freedos 15.6"" Dizüstü Bilgisayar",https://www.trendyol.com/asus/vivobook-intel-core-i5-1235u-8-512-ssd-freedos-15-6-dizustu-bilgisayar-p-905345558?boutiqueId=61&merchantId=339221,1235U,16949,905345558,ASUS,Ofis - İş,15.6 inç,1920 x 1280,Full HD (FHD),IPS,60,Dahili,Intel Iris Graphics,4.0,4.4,8,512,8,3.3,Yok,Free Dos (İşletim Sistemi Yok)
"Experook B1503CVA-I716G512B1D I7-1355U 16 512 SSD 15.6"" FreeDos Dizüstü Bilgisayar",https://www.trendyol.com/asus/experook-b1503cva-i716g512b1d-i7-1355u-16--512--ssd-15-6-freedos-dizustu-bilgisayar-p-902460859?boutiqueId=61&merchantId=514546,1355U,26999,902460859,ASUS,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),TN,60,Dahili,Dahili Ekran Kartı,1.0,,16,512,10,,Yok,Free Dos (İşletim Sistemi Yok)
"Nirvana X700.1362-BF00X-G-F Intel Core i7-13620H 16 RAM 1 NVMe SSD Freedos Laptop 15.6""",https://www.trendyol.com/casper/nirvana-x700-1362-bf00x-g-f-intel-core-i7-13620h-16-ram-1-nvme-ssd-freedos-laptop-15-6-p-900029876?boutiqueId=61&merchantId=114258,13620H,26699,900029876,CASPER,Ofis - İş,15.6 inç,1920 x 1080,FHD+,IPS,60,Dahili,Intel UHD Graphics,1.0,4.9,16,1,10,2.4,,Free Dos (İşletim Sistemi Yok)
"V15 G4 AMD Ryzen 5 7520U 8 256 SSD 15.6"" FHD Freedos Taşınabilir Bilgisayar 82YU00Q6TX",https://www.trendyol.com/lenovo/v15-g4-amd-ryzen-5-7520u-8--256--ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-82yu00q6tx-p-769771882?boutiqueId=61&merchantId=125175,7520U,14489,769771882,LENOVO,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),TN,60,Dahili,Dahili Ekran Kartı,1.0,4.3,,,4,2.8,Yok,Free Dos (İşletim Sistemi Yok)
